,query_file,query_type,target_embedding_type,smallest_k_matched
0,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,text,979
1,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,text_0_2_4,524
2,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,text_0_2_4_llm_fs_single,48
3,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,image,228
4,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,spec,37
5,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,text,69
6,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,text_0_2_4,69
7,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,text_0_2_4_llm_fs_single,66
8,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,image,1
9,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,spec,537
10,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,text,1065
11,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4,1187
12,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4_llm_fs_single,19
13,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,image,1
14,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,spec,1565
15,gene_annotation_single_1_s_1_0_oc_query.png,imgs,text,310
16,gene_annotation_single_1_s_1_0_oc_query.png,imgs,text_0_2_4,204
17,gene_annotation_single_1_s_1_0_oc_query.png,imgs,text_0_2_4_llm_fs_single,2
18,gene_annotation_single_1_s_1_0_oc_query.png,imgs,image,1
19,gene_annotation_single_1_s_1_0_oc_query.png,imgs,spec,750
20,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,text,21
21,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4,34
22,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4_llm_fs_single,28
23,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,image,4
24,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,spec,2613
25,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,text,1868
26,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,text_0_2_4,1772
27,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,text_0_2_4_llm_fs_single,557
28,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,image,445
29,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,spec,848
