query	groundtruth_extended
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_0_7_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_0_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_0_7_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_0_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_2_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_0_7_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query1	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_2_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_0_7_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_0_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_0_7_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_0_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_2_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_0_7_hot
EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_0_hot_query2	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_2_hot
