,query_file,query_type,target_embedding_type,smallest_k_matched
0,rule-mark_p_0_sw_1_0_s_1_0_cc_2_query.txt,alt_0_2_4_llm_fs_single,text,1
1,rule-mark_p_0_sw_1_0_s_1_0_cc_2_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,1
2,rule-mark_p_0_sw_1_0_s_1_0_cc_2_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,7
3,rule-mark_p_0_sw_1_0_s_1_0_cc_2_query.txt,alt_0_2_4_llm_fs_single,image,402
4,rule-mark_p_0_sw_1_0_s_1_0_cc_2_query.txt,alt_0_2_4_llm_fs_single,spec,58
5,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_p_0_sw_1_0_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text,3
6,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_p_0_sw_1_0_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,2
7,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_p_0_sw_1_0_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,1
8,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_p_0_sw_1_0_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,image,135
9,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_p_0_sw_1_0_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,spec,3156
10,multi_layer_circular_m_2_sw_1_2_s_1_2_oc_query.txt,alt_0_2_4_llm_fs_single,text,1
11,multi_layer_circular_m_2_sw_1_2_s_1_2_oc_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,3
12,multi_layer_circular_m_2_sw_1_2_s_1_2_oc_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,1
13,multi_layer_circular_m_2_sw_1_2_s_1_2_oc_query.txt,alt_0_2_4_llm_fs_single,image,1
14,multi_layer_circular_m_2_sw_1_2_s_1_2_oc_query.txt,alt_0_2_4_llm_fs_single,spec,17
15,gene_annotation_single_4_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,text,35
16,gene_annotation_single_4_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,1
17,gene_annotation_single_4_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,4
18,gene_annotation_single_4_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,image,47
19,gene_annotation_single_4_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,spec,2072
20,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,text,21
21,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,22
22,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,1
23,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,image,4
24,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.txt,alt_0_2_4_llm_fs_single,spec,343
25,overview-landing_cc_0_query1.txt,alt_0_2_4_llm_fs_single,text,259
26,overview-landing_cc_0_query1.txt,alt_0_2_4_llm_fs_single,text_0_2_4,291
27,overview-landing_cc_0_query1.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,20
28,overview-landing_cc_0_query1.txt,alt_0_2_4_llm_fs_single,image,223
29,overview-landing_cc_0_query1.txt,alt_0_2_4_llm_fs_single,spec,1015
30,stratified-bar_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text,12
31,stratified-bar_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,29
32,stratified-bar_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,1
33,stratified-bar_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,image,9
34,stratified-bar_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,spec,577
35,basic-link_p_0_sw_0_7_s_0_7_cc_1_query.txt,alt_0_2_4_llm_fs_single,text,51
36,basic-link_p_0_sw_0_7_s_0_7_cc_1_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,72
37,basic-link_p_0_sw_0_7_s_0_7_cc_1_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,1
38,basic-link_p_0_sw_0_7_s_0_7_cc_1_query.txt,alt_0_2_4_llm_fs_single,image,13
39,basic-link_p_0_sw_0_7_s_0_7_cc_1_query.txt,alt_0_2_4_llm_fs_single,spec,28
40,EX_SPEC_MATRIX_sw_0_7_s_0_7_oc_query1.txt,alt_0_2_4_llm_fs_single,text,1
41,EX_SPEC_MATRIX_sw_0_7_s_0_7_oc_query1.txt,alt_0_2_4_llm_fs_single,text_0_2_4,1
42,EX_SPEC_MATRIX_sw_0_7_s_0_7_oc_query1.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,1
43,EX_SPEC_MATRIX_sw_0_7_s_0_7_oc_query1.txt,alt_0_2_4_llm_fs_single,image,84
44,EX_SPEC_MATRIX_sw_0_7_s_0_7_oc_query1.txt,alt_0_2_4_llm_fs_single,spec,1
45,rule-mark_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text,1
46,rule-mark_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4,1
47,rule-mark_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,1
48,rule-mark_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,image,1
49,rule-mark_p_0_sw_0_7_s_0_7_cc_0_query.txt,alt_0_2_4_llm_fs_single,spec,18
50,BRUSH_sw_0_7_s_0_7_cc_1_query2.txt,alt_0_2_4_llm_fs_single,text,548
51,BRUSH_sw_0_7_s_0_7_cc_1_query2.txt,alt_0_2_4_llm_fs_single,text_0_2_4,720
